"","treeID","nodeID","parmID","contPT","mwcpSZ"
"582",11,3,1,51,0
"583",11,3,1,50,0
"584",11,3,0,NA,0
"585",11,17,0,NA,0
"586",11,16,0,NA,0
"587",11,15,0,NA,0
"588",11,14,1,57,0
"589",11,14,1,54,0
"590",11,14,0,NA,0
"591",11,19,0,NA,0
"592",11,18,0,NA,0
"593",11,13,1,69,0
"594",11,13,1,66,0
"595",11,13,1,61,0
"596",11,13,1,60,0
"597",11,13,1,59,0
"598",11,13,0,NA,0
"599",11,24,0,NA,0
"600",11,23,0,NA,0
"601",11,22,1,62,0
"602",11,22,0,NA,0
"603",11,25,1,63,0
"604",11,25,0,NA,0
"605",11,26,1,64,0
"606",11,26,0,NA,0
"607",11,27,1,65,0
"608",11,27,0,NA,0
"609",11,28,0,NA,0
"610",11,21,1,68,0
"611",11,21,1,67,0
"612",11,21,0,NA,0
"613",11,30,0,NA,0
"614",11,29,0,NA,0
"615",11,20,1,70,0
"616",11,20,0,NA,0
"617",11,31,0,NA,0
"618",12,1,1,35,0
"619",12,1,0,NA,0
"620",12,2,1,58,0
"621",12,2,1,45,0
"622",12,2,1,38,0
"623",12,2,0,NA,0
"624",12,5,1,40,0
"625",12,5,0,NA,0
"626",12,6,1,43,0
"627",12,6,1,42,0
"628",12,6,0,NA,0
"629",12,8,0,NA,0
"630",12,7,0,NA,0
"631",12,4,1,49,0
"632",12,4,1,47,0
"633",12,4,0,NA,0
"634",12,10,0,NA,0
"635",12,9,1,54,0
"636",12,9,1,53,0
"637",12,9,1,52,0
"638",12,9,1,51,0
"639",12,9,1,50,0
"640",12,9,0,NA,0
"641",12,15,0,NA,0
"642",12,14,0,NA,0
"643",12,13,0,NA,0
"644",12,12,0,NA,0
"645",12,11,0,NA,0
"646",12,3,1,69,0
"647",12,3,1,63,0
"648",12,3,1,62,0
"649",12,3,1,61,0
"650",12,3,1,60,0
"651",12,3,0,NA,0
"652",12,20,0,NA,0
"653",12,19,0,NA,0
"654",12,18,0,NA,0
"655",12,17,1,64,0
"656",12,17,0,NA,0
"657",12,21,1,67,0
"658",12,21,1,66,0
"659",12,21,1,65,0
"660",12,21,0,NA,0
"661",12,24,0,NA,0
"662",12,23,0,NA,0
"663",12,22,1,68,0
"664",12,22,0,NA,0
"665",12,25,0,NA,0
"666",12,16,1,72,0
"667",12,16,1,70,0
"668",12,16,0,NA,0
"669",12,27,0,NA,0
"670",12,26,0,NA,0
"671",13,1,1,35,0
"672",13,1,0,NA,0
"673",13,2,1,58,0
"674",13,2,1,55,0
"675",13,2,1,42,0
"676",13,2,1,38,0
"677",13,2,1,36,0
"678",13,2,0,NA,0
"679",13,7,0,NA,0
"680",13,6,0,NA,0
"681",13,5,1,45,0
